,STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf
139,2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",Odisha,24.7,7.7,7.9,232.0,1.3,0.8,30790.0,40500.0,2014.0,749.8341066666666,1
140,2424,BUDHABALANGA AT BALASORE D/S,Odisha,24.4,7.5,7.8,519.0,2.1,0.7,38700.0,53556.0,2014.0,933.877407246377,1
141,2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",Odisha,22.7,7.3,7.2,103.0,0.7,1.7,4871.0,13810.0,2014.0,155.68357449275362,1
142,2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",Odisha,24.8,7.4,7.9,196.0,0.7,0.6,5323.0,15213.0,2014.0,177.55254086956523,1
143,1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",Odisha,24.0,7.4,7.8,244.0,1.9,1.0,20880.0,12473.0,2014.0,529.7001342028985,1
144,1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",Odisha,22.8,7.5,8.0,243.0,1.7,0.9,8780.0,30319.0,2014.0,267.4256139130435,1
145,1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",Odisha,26.8,7.2,8.0,296.0,1.5,0.7,1468.0,4314.0,2014.0,99.77196811594203,1
146,2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),Odisha,25.3,7.5,7.9,194.0,1.0,1.0,2906.0,8559.0,2014.0,124.89076724637681,1
147,2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),Odisha,27.1,7.4,7.9,170.0,0.8,0.9,4948.0,16709.0,2014.0,170.50644086956524,1
148,1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",Puducherry,29.0,6.7,7.3,386.0,1.8965,0.2,233.0,465.0,2014.0,65.36007423188406,2
149,2445,MAHE RIVER,Puducherry,32.0,6.0,7.1,13000.0,1.8965,0.4,233.0,465.0,2014.0,68.0526295942029,2
150,1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",Tamil Nadu,29.3,6.5,7.4,1063.0,2.0,0.6,177.0,374.0,2014.0,67.90948347826087,2
151,1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",Tamil Nadu,22.8,6.8,6.6,63.0,2.9,0.1,11.0,36.0,2014.0,56.52739594202898,2
152,1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",Tamil Nadu,24.5,6.6,6.4,101.0,2.5,0.2,13.0,41.0,2014.0,50.5413631884058,1
